,user_id,items
225,C2305,Baked Pav Bhaji - Food Menu
226,C2304,Vietnamese - Cold Coffee
227,C2303,South Indian Filter Kaapi - Hot Coffee
228,C2303,Baked Pav Bhaji - Food Menu
229,20912,Kaapicino - Hot Coffee
230,20912,Almond Honey Latte - Hot Coffee
231,20912,Origanal South Indian Frappe - Cold Coffee
232,20912,Papparoti - Sweet
233,20911,Baked Vada Pav - Food Menu
234,20911,Origanal South Indian Frappe - Cold Coffee
235,C2302,Papparoti - Sweet
236,C2301,Berliners - Food Menu
237,20910,Spicy Banana Chips - Food Menu
238,C2300,Kaapicino - Hot Coffee
239,C2300,Strawberry White Chocolate Ganache - SEASONAL MENU
240,C2300,Rosella Jam - SEASONAL MENU
241,C2299,Origanal South Indian Frappe - Cold Coffee
242,C2299,Iced Americano - Cold Coffee
243,C2299,Add On Syrup - Extra Toppings
244,C2298,Spicy Banana Chips - Food Menu
245,C2298,Yellow Banana Chips - Food Menu
246,C2298,Plain Nankhatai Veg - Sweet
247,C2298,Choco-crinkle-cookies - Sweet
248,20909,Origanal South Indian Frappe - Cold Coffee
249,20909,Baked Vada Pav - Food Menu
250,20908,Americano - Hot Coffee
251,20907,Malnad Tonic - Coffee Coolers
252,20906,Vanilla Praline - Cold Coffee
253,20906,Cappucino - Hot Coffee
254,20906,OAT MILK - Milk
255,20905,Americano - Hot Coffee
256,20904,Hazelnut Frappe - Cold Coffee
257,20904,Madagascar Chocochip Frappe - Cold Coffee
258,20903,South Indian Filter Kaapi - Hot Coffee
259,20902,Berliners - Food Menu
260,20901,Iced Mocha - Cold Coffee
261,20900,Vietnamese - Cold Coffee
262,20900,Vanilla Praline - Cold Coffee
263,20899,Sea Salt Dark Mocha Frappe - Cold Coffee
264,20899,Nariyal Irish Cream Frappe - Cold Coffee
265,20899,Papparoti - Sweet
266,20899,Strawberry White Chocolate Ganache - SEASONAL MENU
267,20899,Cafe Latte - Hot Coffee
268,20898,Cappucino - Hot Coffee
269,20898,Iced Latte - Cold Coffee
270,20897,ESPRESSO - Hot Coffee
271,20897,South Indian Filter Kaapi - Hot Coffee
272,20897,Baked Pav Bhaji - Food Menu
273,20897,Baked Pav Bhaji - Food Menu
274,20896,South Indian Filter Kaapi - Hot Coffee
275,20896,Choco-crinkle-cookies - Sweet
276,20896,Cafe Latte - Hot Coffee
277,20895,Almond Frappe - Cold Coffee
278,20894,Berliners - Food Menu
279,20894,Berliners - Food Menu
280,20893,Iced Americano - Cold Coffee
281,20893,Iced Mocha - Cold Coffee
282,20893,Berliners - Food Menu
283,20892,Cold Brew - Manual Brew
284,20891,Iced Latte - Cold Coffee
285,20891,Vietnamese - Cold Coffee
286,20891,Choco-crinkle-cookies - Sweet
287,C2297,Rosella Cheesecake Berliner - SEASONAL MENU
288,C2297,Calzones Veg - Food Menu
289,20890,Choco-crinkle-cookies - Sweet
290,20889,Irish Americano - Hot Coffee
291,20889,Classic Frappe - Cold Coffee
292,20888,Mix Tartlet - Food Menu
293,20888,Mix Tartlet - Food Menu
294,20888,Mix Tartlet - Food Menu
295,20888,Gluten Free Hazelnut Brownie - Sweet
296,20887,Baked Vada Pav - Food Menu
297,20886,Nariyal Irish Cream Frappe - Cold Coffee
298,20886,Vietnamese - Cold Coffee
299,20886,Hyderabadi Soya Keema Pav - Food Menu
300,20885,Almond Frappe - Cold Coffee
301,20885,Hazelnut Frappe - Cold Coffee
302,20885,Origanal South Indian Frappe - Cold Coffee
303,20885,Strawberry White Chocolate Ganache - SEASONAL MENU
304,20885,Berliners - Food Menu
305,20885,Choco-crinkle-cookies - Sweet
306,20884,Iced Americano - Cold Coffee
307,20884,Caramel Frappe - Cold Coffee
308,20883,Rosella Jam - SEASONAL MENU
309,20883,Hazelnut Frappe - Cold Coffee
310,20882,Flat White 250 Ml - Hot Coffee
311,20881,South Indian Filter Kaapi - Hot Coffee
312,20880,Cappucino - Hot Coffee
313,20880,Almond Honey Latte - Hot Coffee
314,20880,Chicken Calzone - Food Menu
315,20880,Choco-crinkle-cookies - Sweet
316,20880,Rosella Jam - SEASONAL MENU
317,20879,Cappucino - Hot Coffee
318,20879,Baked Vada Pav - Food Menu
319,20879,Hyderabadi Chicken Keema Pav - Food Menu
320,20879,South Indian Filter Kaapi - Hot Coffee
321,20879,Calzones Veg - Food Menu
322,20879,Spicy Banana Chips - Food Menu
323,C2296,Strawberry White Chocolate Ganache - SEASONAL MENU
324,20878,Classic Frappe - Cold Coffee
325,20878,Yellow Banana Chips - Food Menu
326,20878,Mix Berliner - Food Menu
327,20878,Mix Berliner - Food Menu
328,20877,Vietnamese - Cold Coffee
329,20876,Tartlets - Food Menu
330,20876,Mix Berliner - Food Menu
331,20876,Mix Berliner - Food Menu
332,20876,Baked Vada Pav - Food Menu
333,20876,Rosella Jam - SEASONAL MENU
334,20875,Vietnamese - Cold Coffee
335,20874,Spicy Banana Chips - Food Menu
336,20873,Papparoti - Sweet
337,20873,Rosella Cheesecake Berliner - SEASONAL MENU
338,20873,Baked Vada Pav - Food Menu
339,20873,Cafe Mocha - Hot Coffee
340,20873,Vietnamese - Cold Coffee
341,20873,Calzones Veg - Food Menu
342,20873,Calzones Veg - Food Menu
343,20872,Tartlets - Food Menu
344,20872,Tartlets - Food Menu
345,20872,Tartlets - Food Menu
346,20872,Origanal South Indian Frappe - Cold Coffee
347,20872,Hot Chocolate - Hot Chocolate
348,20872,South Indian Filter Kaapi - Hot Coffee
349,20872,Papparoti - Sweet
350,20872,Origanal South Indian Frappe - Cold Coffee
351,20871,Vanilla Praline - Cold Coffee
352,20871,Calzones Veg - Food Menu
353,20871,Calzones Veg - Food Menu
354,20870,Hyderabadi Chicken Keema Pav - Food Menu
355,20870,Iced Americano - Cold Coffee
356,20870,Origanal South Indian Frappe - Cold Coffee
357,C2295,South Indian Filter Kaapi - Hot Coffee
